# Input file: /home/rlomba/cupy/pictures/2sp_white.jpg
# std_scale: 1.0
# min_pts: 5
# cluster_id num_points center_x center_y gyration_radius lambda1 lambda2 relation_between_lambdas
90 21 728.857117 29.190475 2.180100 83.454437 16.355089 5.102658
91 13 24.384615 8.384615 1.418391 15.153846 11.000000 1.377622
92 13 113.384613 5.384615 1.418391 15.153846 11.000000 1.377622
93 11 544.909119 33.363636 1.329885 12.986081 6.468464 2.007599
94 12 588.500000 15.500000 1.354006 11.000000 11.000000 1.000000
95 9 439.000000 19.000000 1.154701 6.000000 6.000000 1.000000
96 11 749.363647 29.454546 1.323656 11.000000 8.272727 1.329670
97 9 825.666687 30.888889 1.196703 8.493232 4.395657 1.932187
98 23 835.391296 33.391304 2.196405 86.022781 24.933739 3.450056
99 12 544.500000 15.500000 1.354006 11.000000 11.000000 1.000000
100 18 313.277771 23.333334 1.879880 49.448120 14.162992 3.491361
101 62 380.725800 46.258064 5.242829 1578.530273 125.679443 12.559971
102 11 110.636360 17.454546 1.323656 11.000000 8.272727 1.329670
103 11 626.363647 27.454546 1.323656 11.000000 8.272727 1.329670
104 11 411.636353 21.454546 1.323656 11.000000 8.272727 1.329670
105 30 506.166656 31.900000 2.315647 98.848572 62.018093 1.593867
106 13 202.384613 32.384617 1.418391 15.153846 11.000000 1.377622
107 10 209.000000 13.800000 1.249000 9.600000 6.000000 1.600000
108 25 591.640015 0.840000 2.946998 201.795151 15.324848 13.167841
109 15 607.400024 0.733333 2.074180 57.065948 7.467383 7.642027
110 9 663.000000 20.000000 1.154701 6.000000 6.000000 1.000000
111 13 815.615356 4.384615 1.418391 15.153846 11.000000 1.377622
112 11 490.000000 13.636364 1.366663 12.545455 8.000000 1.568182
113 11 657.181824 22.181818 1.323656 10.000000 9.272727 1.078431
114 22 357.136353 47.454544 2.236530 91.539856 18.505600 4.946603
115 21 75.714287 35.190475 1.921356 53.970284 23.553526 2.291389
116 11 89.818184 35.454544 1.360603 14.128780 6.234856 2.266096
117 11 729.181824 37.181820 1.323656 10.000000 9.272727 1.078431
118 10 233.199997 64.000000 1.249000 9.600000 6.000000 1.600000
119 9 242.000000 64.000000 1.154701 6.000000 6.000000 1.000000
120 13 902.384644 16.615385 1.418391 15.153846 11.000000 1.377622
121 12 895.416687 43.750000 1.389444 14.639520 8.527146 1.716813
122 9 872.888916 22.666666 1.196703 8.493232 4.395657 1.932187
123 11 706.454529 7.636364 1.323656 11.000000 8.272727 1.329670
124 9 421.000000 9.000000 1.154701 6.000000 6.000000 1.000000
125 11 918.636353 16.545454 1.323656 11.000000 8.272727 1.329670
126 10 890.700012 24.700001 1.272792 10.000000 6.200000 1.612903
127 9 169.000000 26.000000 1.154701 6.000000 6.000000 1.000000
128 7 461.000000 0.714286 1.030158 4.000000 3.428571 1.166667
129 11 450.818176 4.181818 1.323656 10.000000 9.272727 1.078431
130 10 219.500000 30.000000 1.284523 12.000000 4.500000 2.666667
131 20 430.500000 49.849998 2.043893 66.595367 16.954634 3.927857
132 9 635.777771 29.666666 1.227262 8.044640 5.510916 1.459764
133 10 141.100006 7.200000 1.284523 10.500000 6.000000 1.750000
134 18 485.944458 41.222221 1.795914 40.412498 17.643057 2.290561
135 10 825.500000 53.000000 1.284523 12.000000 4.500000 2.666667
136 11 122.818184 9.727273 1.342257 11.388984 8.429198 1.351135
137 10 322.399994 35.099998 1.315295 11.261992 6.038008 1.865183
138 9 506.000000 1.000000 1.154701 6.000000 6.000000 1.000000
139 10 282.000000 29.799999 1.249000 9.600000 6.000000 1.600000
140 11 103.636360 51.454544 1.323656 11.000000 8.272727 1.329670
141 9 530.777771 27.666666 1.227262 8.044640 5.510916 1.459764
142 9 244.000000 42.000000 1.154701 6.000000 6.000000 1.000000
143 11 259.909088 43.636364 1.329885 12.986081 6.468464 2.007599
144 10 730.000000 13.200000 1.249000 9.600000 6.000000 1.600000
145 10 86.800003 19.900000 1.284523 10.500000 6.000000 1.750000
146 10 439.100006 53.500000 1.319091 11.043075 6.356925 1.737172
147 10 454.000000 9.200000 1.249000 9.600000 6.000000 1.600000
148 10 234.500000 0.800000 1.268858 10.500000 5.600000 1.875000
149 12 472.500000 33.500000 1.354006 11.000000 11.000000 1.000000
150 27 482.000000 37.000000 3.055050 223.349884 28.650116 7.795776
151 11 890.181824 2.454545 1.360603 14.128780 6.234856 2.266096
152 12 655.750000 29.333334 1.381927 13.026794 9.889873 1.317185
153 11 935.909119 40.363636 1.329885 12.986081 6.468464 2.007599
154 23 942.086975 39.478260 1.973358 59.529881 30.035336 1.981995
155 10 173.000000 5.500000 1.284523 12.000000 4.500000 2.666667
156 2604 525.833313 95.010368 21.796824 632098.250000 605066.125000 1.044676
157 10 855.000000 49.799999 1.249000 9.600000 6.000000 1.600000
158 20 982.000000 50.650002 2.104162 73.834694 14.715304 5.017545
159 12 987.500000 51.500000 1.354006 11.000000 11.000000 1.000000
160 26 398.923065 62.846153 2.427651 101.725792 51.504978 1.975067
161 50 411.100006 63.439999 4.129940 742.671753 110.148262 6.742474
162 19 716.736816 54.105263 2.045196 66.421471 13.052217 5.088903
163 11 246.727280 24.727272 1.360603 13.363636 7.000000 1.909091
164 23 56.608696 21.043478 2.471004 117.079391 23.355389 5.012950
165 18 436.000000 6.500000 1.892969 52.500000 12.000000 4.375000
166 9 379.000000 37.000000 1.154701 6.000000 6.000000 1.000000
167 9 383.000000 35.000000 1.154701 6.000000 6.000000 1.000000
168 24 988.500000 34.500000 2.081666 74.803505 29.196491 2.562072
169 20 725.700012 50.500000 1.989975 60.798115 18.401886 3.303906
170 30 657.299988 50.066666 2.367605 113.086899 55.079765 2.053148
171 13 962.384644 14.615385 1.418391 15.153846 11.000000 1.377622
172 39 825.384644 64.641029 3.089291 317.887207 54.317928 5.852344
173 11 928.636353 64.545456 1.323656 11.000000 8.272727 1.329670
174 9 413.000000 26.000000 1.154701 6.000000 6.000000 1.000000
175 19 160.157898 43.473682 1.990281 60.423058 14.840099 4.071607
176 10 202.199997 39.000000 1.249000 9.600000 6.000000 1.600000
177 10 805.000000 50.799999 1.249000 9.600000 6.000000 1.600000
178 9 812.000000 51.000000 1.154701 6.000000 6.000000 1.000000
179 11 896.909119 31.363636 1.329885 12.986081 6.468464 2.007599
180 50 164.740005 57.779999 4.000500 720.000977 80.198997 8.977680
181 10 456.000000 44.200001 1.249000 9.600000 6.000000 1.600000
182 10 475.000000 46.200001 1.249000 9.600000 6.000000 1.600000
183 13 963.615356 47.384617 1.418391 15.153846 11.000000 1.377622
184 11 842.636353 56.545456 1.323656 11.000000 8.272727 1.329670
185 12 695.750000 63.333332 1.381927 13.026794 9.889873 1.317185
186 23 438.086945 60.434784 2.409025 114.028969 19.449291 5.862886
187 10 541.000000 27.799999 1.249000 9.600000 6.000000 1.600000
188 11 324.272736 22.545454 1.378705 12.833864 8.075227 1.589288
189 10 592.000000 40.200001 1.249000 9.600000 6.000000 1.600000
190 11 89.272728 25.181818 1.342257 11.388984 8.429198 1.351135
