# Input file: /home/rlomba/cupy/pictures/run.nc
# std_scale: 1.0
# min_pts: 5
# eps: 10.746533518346354
# cluster_id num_points center_x center_y gyration_radius lambda1 lambda2 relation_between_lambdas
0 277 3695.547119 3455.574951 28.184269 116826.265625 103209.531250 1.131933
1 368 326.252441 3682.424316 31.580622 201879.359375 165140.156250 1.222473
2 340 4193.171387 173.887527 30.540373 170835.281250 146287.593750 1.167804
3 221 3435.710938 23.088810 26.861597 109742.296875 49719.242188 2.207240
4 369 393.380432 2517.088623 31.574821 192372.734375 175508.968750 1.096085
5 350 3332.856689 3494.009033 30.877310 171770.000000 161922.875000 1.060814
6 216 22.182104 1449.140381 26.692150 111747.304688 42146.406250 2.651408
7 131 62.570961 4456.848633 23.015249 55453.085938 13937.839844 3.978600
8 263 4275.580566 3726.683838 28.559160 109363.812500 105145.734375 1.040116
9 306 1033.656616 630.592773 29.788681 142206.531250 129327.312500 1.099586
10 360 4210.281738 4344.426758 31.597624 197365.062500 162062.468750 1.217833
11 353 878.440247 4227.377930 31.199717 172729.921875 170888.140625 1.010778
12 261 3885.267334 707.346924 28.731440 117093.398438 98360.960938 1.190446
13 335 4257.609375 1451.232544 30.880188 172190.718750 147260.593750 1.169293
14 317 4011.005127 4066.979492 29.626049 145212.531250 133019.265625 1.091665
15 399 134.543213 3721.237793 32.084148 206988.093750 203739.593750 1.015944
16 380 1630.826538 3296.001709 32.105331 205130.031250 186555.812500 1.099564
17 394 4288.819824 3973.600830 32.316715 212544.734375 198937.078125 1.068402
18 380 168.617935 3341.198730 32.209213 212050.140625 182174.531250 1.163994
19 365 82.303322 4230.993164 31.356667 188751.140625 170131.656250 1.109442
20 374 4115.069336 2935.141602 31.948053 209806.843750 171926.765625 1.220327
21 278 4436.167969 3652.326416 27.761797 117258.039062 97001.375000 1.208829
22 214 392.265594 4438.284180 25.901026 78441.492188 65123.210938 1.204509
23 170 4069.124268 4453.397461 24.674360 77912.304688 25587.779297 3.044903
24 234 3217.537842 4127.072266 27.297026 92046.125000 82313.750000 1.118235
25 321 4422.437012 2070.560303 30.125059 152095.765625 139217.906250 1.092501
26 429 875.067261 3938.104004 33.271988 247651.234375 227262.578125 1.089714
27 304 147.472885 2684.086670 29.852932 142556.203125 128367.867188 1.110529
28 330 1436.412109 4109.559082 30.416491 159563.468750 145740.265625 1.094848
29 310 434.755951 463.348480 29.528738 138715.859375 131587.500000 1.054172
30 313 1151.548584 4417.012695 30.169621 152413.421875 132481.062500 1.150454
31 222 1499.244385 296.878143 27.466139 86668.007812 80806.296875 1.072540
32 268 1161.054810 1906.735352 27.782825 106727.953125 100137.328125 1.065816
33 324 2441.067627 321.470367 30.549179 156792.078125 145581.656250 1.077004
34 307 3378.094727 798.094604 29.394482 139059.640625 126199.273438 1.101905
35 364 578.255798 4337.627441 31.869434 194711.671875 174988.859375 1.112709
36 303 187.586594 4087.284180 29.729992 139071.109375 128742.226562 1.080229
37 238 675.138916 3101.344727 27.530361 102734.578125 77650.562500 1.323037
38 431 1583.669800 3723.447266 33.212421 251639.109375 223781.906250 1.124484
39 437 4046.228271 4251.987793 33.633408 270834.000000 223503.046875 1.211769
40 323 952.346680 3702.020996 30.091705 149815.125000 142664.828125 1.050120
41 214 24.510689 403.156372 26.054413 96656.531250 48613.617188 1.988260
42 369 799.668518 4398.251465 31.498243 190566.875000 175532.546875 1.085650
43 438 345.023071 630.921570 33.513252 254163.437500 237771.000000 1.068942
44 262 4429.601074 587.252258 28.150465 112417.031250 95204.515625 1.180795
45 352 1176.543335 497.012817 30.604263 175287.421875 154403.156250 1.135258
