# Input file: /home/rlomba/cupy/pictures/2sp_white.jpg
# std_scale: 1.0
# min_pts: 5
# eps: 1.9317284234263357
# cluster_id num_points center_x center_y gyration_radius lambda1 lambda2 relation_between_lambdas
78 9 343.000000 17.000000 1.154701 6.000000 6.000000 1.000000
79 24 647.625000 18.916666 2.593729 138.490448 22.967890 6.029741
80 23 56.608696 21.043478 2.471004 117.079391 23.355389 5.012950
81 9 439.000000 19.000000 1.154701 6.000000 6.000000 1.000000
82 10 86.800003 19.900000 1.284523 10.500000 6.000000 1.750000
83 23 578.130432 20.434782 2.169561 84.911140 23.349730 3.636493
84 9 663.000000 20.000000 1.154701 6.000000 6.000000 1.000000
85 10 725.000000 19.799999 1.249000 9.600000 6.000000 1.600000
86 11 411.636353 21.454546 1.323656 11.000000 8.272727 1.329670
87 10 521.000000 21.200001 1.249000 9.600000 6.000000 1.600000
88 9 813.666687 20.888889 1.196703 8.493232 4.395657 1.932187
89 22 988.590881 22.090910 2.186075 87.370941 17.765425 4.918033
90 10 1026.000000 20.799999 1.249000 9.600000 6.000000 1.600000
91 10 161.500000 22.000000 1.284523 12.000000 4.500000 2.666667
92 11 657.181824 22.181818 1.323656 10.000000 9.272727 1.078431
93 18 313.277771 23.333334 1.879880 49.448120 14.162992 3.491361
94 11 324.272736 22.545454 1.378705 12.833864 8.075227 1.589288
95 9 872.888916 22.666666 1.196703 8.493232 4.395657 1.932187
96 10 841.000000 24.200001 1.249000 9.600000 6.000000 1.600000
97 10 849.000000 23.799999 1.249000 9.600000 6.000000 1.600000
98 11 89.272728 25.181818 1.342257 11.388984 8.429198 1.351135
99 18 206.500000 26.500000 1.957890 57.000000 12.000000 4.750000
100 11 246.727280 24.727272 1.360603 13.363636 7.000000 1.909091
101 23 442.260864 26.782608 2.416859 112.169899 22.177925 5.057727
102 10 890.700012 24.700001 1.272792 10.000000 6.200000 1.612903
103 20 910.900024 26.150000 2.348936 97.915855 12.434146 7.874755
104 12 995.416687 24.750000 1.389444 14.639520 8.527146 1.716813
105 9 169.000000 26.000000 1.154701 6.000000 6.000000 1.000000
106 40 355.075012 30.325001 3.519766 423.342072 72.207916 5.862821
107 9 413.000000 26.000000 1.154701 6.000000 6.000000 1.000000
108 11 626.363647 27.454546 1.323656 11.000000 8.272727 1.329670
109 23 101.826088 30.130434 2.483975 118.809578 23.103466 5.142500
110 11 343.636353 28.454546 1.323656 11.000000 8.272727 1.329670
111 9 530.777771 27.666666 1.227262 8.044640 5.510916 1.459764
112 10 541.000000 27.799999 1.249000 9.600000 6.000000 1.600000
113 11 588.818176 28.181818 1.323656 10.000000 9.272727 1.078431
114 21 728.857117 29.190475 2.180100 83.454437 16.355089 5.102658
115 12 655.750000 29.333334 1.381927 13.026794 9.889873 1.317185
116 11 749.363647 29.454546 1.323656 11.000000 8.272727 1.329670
117 10 804.700012 28.700001 1.272792 10.000000 6.200000 1.612903
118 13 848.615356 29.384615 1.418391 15.153846 11.000000 1.377622
119 10 57.000000 30.500000 1.284523 12.000000 4.500000 2.666667
120 11 82.818184 30.454546 1.360603 14.128780 6.234856 2.266096
121 10 219.500000 30.000000 1.284523 12.000000 4.500000 2.666667
122 10 282.000000 29.799999 1.249000 9.600000 6.000000 1.600000
123 9 635.777771 29.666666 1.227262 8.044640 5.510916 1.459764
124 12 116.250000 31.416666 1.389444 14.639520 8.527146 1.716813
125 30 506.166656 31.900000 2.315647 98.848572 62.018093 1.593867
126 9 825.666687 30.888889 1.196703 8.493232 4.395657 1.932187
127 11 896.909119 31.363636 1.329885 12.986081 6.468464 2.007599
128 13 202.384613 32.384617 1.418391 15.153846 11.000000 1.377622
129 10 367.799988 32.500000 1.268858 10.500000 5.600000 1.875000
130 9 427.333344 31.888889 1.196703 8.493232 4.395657 1.932187
131 23 835.391296 33.391304 2.196405 86.022781 24.933739 3.450056
132 12 472.500000 33.500000 1.354006 11.000000 11.000000 1.000000
133 11 544.909119 33.363636 1.329885 12.986081 6.468464 2.007599
134 9 663.000000 33.000000 1.154701 6.000000 6.000000 1.000000
135 10 686.000000 32.799999 1.249000 9.600000 6.000000 1.600000
136 13 921.615356 33.384617 1.418391 15.153846 11.000000 1.377622
137 24 988.500000 34.500000 2.081666 74.803505 29.196491 2.562072
138 23 997.391296 34.347828 2.290772 103.401779 17.293875 5.979098
139 21 75.714287 35.190475 1.921356 53.970284 23.553526 2.291389
140 12 230.500000 34.333332 1.404358 14.946923 8.719743 1.714147
141 10 413.899994 33.799999 1.284523 10.500000 6.000000 1.750000
142 27 482.000000 37.000000 3.055050 223.349884 28.650116 7.795776
143 10 647.200012 34.000000 1.249000 9.600000 6.000000 1.600000
144 9 654.666687 33.888889 1.196703 8.493232 4.395657 1.932187
145 19 913.368408 35.526318 2.586991 114.975945 12.181953 9.438219
